corretora,ativo,op,classe,tipo,qtde,data,preco,valor,posicao,custo_atual,custo_medio,total,taxas,txcorr,txbolsa,txaluguel,prov,jcp,divid,rentabilidade,lucro,irrf,ir,extrato,saldo_rico,saldo_clear
rico,,E,,,,2019-06-10,,500.00,,0.00,,500.00,0.00,,,,,,,,,,,500.00,500.00,0.00
rico,,E,,,,2019-06-13,,2500.00,,0.00,,2500.00,0.00,,,,,,,,,,,2500.00,3000.00,0.00
rico,Leblon,F,,fia,,2019-07-02,,500.00,,0.00,,500.00,0.00,,,,,,,,,,,-500.00,2500.00,0.00
rico,MRVE3,C,swing,ação,30,2019-07-02,19.15,574.50,30,582.97,19.43,582.97,8.47,8.30,0.18,,,,,,,,,-582.97,1917.03,0.00
rico,PETR4,C,swing,ação,10,2019-07-02,26.84,268.40,10,276.78,27.68,276.78,8.38,8.30,0.08,,,,,,,,,-276.78,1640.24,0.00
rico,SLBiased,F,,fia,,2019-07-02,,1000.00,,0.00,,1000.00,0.00,,,,,,,,,,,-1000.00,640.24,0.00
rico,MRVE3,V,swing,ação,20,2019-08-08,22.10,442.00,10,194.32,19.43,433.57,8.43,8.30,0.14,,,,,,44.92,0.02,6.74,433.57,1073.81,0.00
rico,MRVE3,C,swing,ação,40,2019-08-13,20.75,830.00,50,1032.88,20.66,838.55,8.55,8.30,0.25,,,,,,,,,-838.55,235.26,0.00
rico,PETR4,J,,ação,10,2019-10-04,,,10,276.78,27.68,,0.00,,,,1.70,,,,,,,1.70,236.96,0.00
rico,PETR4,V,swing,ação,10,2019-11-18,29.26,292.60,0,0.00,27.68,284.21,8.39,8.30,0.09,,,,,,7.43,0.01,1.11,284.21,521.17,0.00
rico,MRVE3,D,,ação,50,2019-11-27,,,50,1032.88,20.66,,0.00,0.00,,,18.50,,,,,,,18.50,539.67,0.00
rico,MRVE3,V,swing,ação,40,2019-12-13,21.19,847.60,10,206.58,20.66,839.04,8.56,8.30,0.26,,,,,,12.74,0.04,1.91,839.04,1378.71,0.00
rico,MRVE3,D,,ação,50,2019-12-20,,,10,206.58,20.66,,0.00,0.00,,,18.50,,,,,,,18.50,1397.21,0.00
